"sp","dbh","n","cl","time","height","stem_volume","average_carbon_stock_per_cohort","total_carbon_total","total_carbon_above","total_carbon_below","ca_ind","ca_cohort","cumca","Species_Name","SP_code","k","p","a","b","c","Wood_Density","agb","carbon_above_per_tree","carbon_below_per_tree"
5,77.5,0.3544,1,0,35.5859999658879,7485.41929251783,2561.2110651279,907.693201481329,698.225539601022,209.467661880307,131.613422738353,46.6437970184725,711.944191700256,"Que_rob","SEI",8.62866109840432,0.325694811647181,2.00333,0.85925,-2.86353,0.56,4191.83480380999,1970.16235779069,591.048707337208
2,76.5,0.7089,1,0,37.4362878306638,6540.94586709783,2238.05003788619,1586.55367185752,1220.42590142886,366.127770428659,128.295467869214,90.9486571724857,802.892848872742,"Fra_exc","GES",3.95189769262084,0.518398405633361,1.95277,0.77206,-2.48079,0.56,3662.92968557478,1721.57695222015,516.473085666045
3,66.5,0.3544,1,0,39.6045490808072,4076.08219025701,1758.28327008241,623.135590917205,479.335069936312,143.800520980893,126.570364843204,44.8565373004314,847.749386173173,"Car_bet","HBU",1.14862444142167,0.843509305258925,0.00021491,2.258957614,0.001411006,0.706,2877.71402632145,1352.52559237108,405.757677711325
2,75.5,0.3544,1,0,37.1817989796862,6341.53433921043,2169.81938950424,768.983991640303,591.526147415617,177.457844224685,124.980364084635,44.2930410315948,892.042427204768,"Fra_exc","GES",3.95189769262084,0.518398405633361,1.95277,0.77206,-2.48079,0.56,3551.25922995784,1669.09183808018,500.727551424055
2,74.5,0.7089,1,0,36.9256815400207,6145.66458724682,2102.80059517237,1490.67534191769,1146.67333993669,344.002001981006,121.673177414649,86.2541154692445,978.296542674012,"Fra_exc","GES",3.95189769262084,0.518398405633361,1.95277,0.77206,-2.48079,0.56,3441.57216885822,1617.53891936336,485.261675809009
2,73.5,0.3544,1,0,36.6679030166274,5953.31997963324,2036.98796423131,721.908534523576,555.314257325827,166.594277197748,118.378925550965,41.9534912152619,1020.25003388927,"Fra_exc","GES",3.95189769262084,0.518398405633361,1.95277,0.77206,-2.48079,0.56,3333.85918859461,1566.91381863947,470.07414559184
5,73.5,0.3544,1,0,34.9770771727775,6632.39102155448,2269.33891193508,804.253710389793,618.65670029984,185.597010089952,118.378925550965,41.9534912152619,1062.20352510454,"Que_rob","SEI",8.62866109840432,0.325694811647181,2.00333,0.85925,-2.86353,0.56,3714.13897207051,1745.64531687314,523.693595061942
7,71.5,0.3544,1,0,47.0770406640984,8714.92580071285,2247.0738983074,796.362989560143,612.586915046264,183.776074513879,116.914933079883,41.4346522835104,1103.63817738805,"Til_spe","WLI",1.0585102500138,0.888803708564362,1.94295,1.29229,-4.20064,0.422,3677.69868790082,1728.51838331339,518.555514994016
2,72.5,0.7089,1,0,36.4084298136316,5764.48373971701,1972.37575638157,1398.2171736989,1075.55167207608,322.665501622823,115.102547583957,81.5961959822668,1185.23437337031,"Fra_exc","GES",3.95189769262084,0.518398405633361,1.95277,0.77206,-2.48079,0.56,3228.11089424153,1517.21212029352,455.163636088056
2,71.5,1.4177,1,0,36.1472271812778,5579.13894250079,1908.95818056607,2706.33001258852,2081.79231737578,624.537695212734,111.848874750159,158.5681497333,1343.80252310361,"Fra_exc","GES",3.95189769262084,0.518398405633361,1.95277,0.77206,-2.48079,0.56,3124.31780780044,1468.42936966621,440.528810899862
