"","Tree_ID","PLOTID","DBH24","SP","Status","H24","Wood_Density","a","b","c","Carbon_Above","Carbon_Below","Carbon_Total"
"57","P81.B56.0",81,8.5,"Ace_pse","Alive",9.5,0.51,1.89756,0.97716,-2.94253,6.61856848473254,1.98557054541976,8.6041390301523
"58","P81.B57.0",81,12.6,"Ulm_spe","Alive",10.60000038,0.508,1.94295,1.29229,-4.20064,10.3897305629272,3.11691916887815,13.5066497318053
"59","P81.B58.0",81,11.8,"Ulm_spe","Alive",10.5,0.508,1.94295,1.29229,-4.20064,9.03509374788753,2.71052812436626,11.7456218722538
"60","P81.B59.0",81,7.4,"Ulm_spe","Dead",8.899999619,0.508,1.94295,1.29229,-4.20064,2.94718742356395,0.884156227069185,3.83134365063314
"61","P81.B60.0",81,8.1,"Til_spe","Alive",7.400000095,0.422,1.94295,1.29229,-4.20064,2.29898411326273,0.68969523397882,2.98867934724155
"62","P81.B61.0",81,9.4,"Til_spe","Alive",7.599999905,0.422,1.94295,1.29229,-4.20064,3.17761216713495,0.953283650140484,4.13089581727543
"63","P81.B62.0",81,33.7,"Que_rob","Alive",31,0.56,2.00333,0.85925,-2.86353,329.966577305195,98.9899731915586,428.956550496754
"64","P81.B63.0",81,11.4,"Ace_pla","Alive",11.80000019,0.525,1.89756,0.97716,-2.94253,14.6985068223107,4.40955204669322,19.1080588690039
"65","P81.B64.0",81,36.8,"Til_spe","Alive",28.10000038,0.422,1.94295,1.29229,-4.20064,244.122749945735,73.2368249837206,317.359574929456
"66","P81.B65.0",81,51.9,"Que_rob","Alive",33.09999847,0.56,2.00333,0.85925,-2.86353,829.142194330656,248.742658299197,1077.88485262985
"67","P81.B66.0",81,29.9,"Til_spe","Alive",26.70000076,0.422,1.94295,1.29229,-4.20064,152.657141409526,45.7971424228579,198.454283832384
"68","P81.B67.0",81,44.1,"Que_rob","Alive",29.79999924,0.56,2.00333,0.85925,-2.86353,546.69371613517,164.008114840551,710.701830975721
"69","P81.B68.0",81,6.1,"Til_spe","Alive",6.699999809,0.422,1.94295,1.29229,-4.20064,1.16541426628402,0.349624279885205,1.51503854616922
"70","P81.B69.0",81,6.9,"Til_spe","Alive",16.20000076,0.422,1.94295,1.29229,-4.20064,4.63427244225051,1.39028173267515,6.02455417492566
"71","P81.B70.0",81,6.5,"Til_spe","Alive",6.099999905,0.422,1.94295,1.29229,-4.20064,1.16793702542957,0.350381107628872,1.51831813305844
"72","P81.B71.0",81,31.2,"Que_rob","Alive",31.29999924,0.56,2.00333,0.85925,-2.86353,285.103003798041,85.5309011394122,370.633904937453
"73","P81.B72.0",81,9.3,"Til_spe","Alive",9.199999809,0.422,1.94295,1.29229,-4.20064,3.98384874402935,1.19515462320881,5.17900336723816
"74","P81.B73.0",81,6.1,"Til_spe","Alive",5.699999809,0.422,1.94295,1.29229,-4.20064,0.945717962305423,0.283715388691627,1.22943335099705
"75","P81.B74.0",81,9,"Til_spe","Alive",8.300000191,0.422,1.94295,1.29229,-4.20064,3.27232523180326,0.981697569540978,4.25402280134424
"76","P81.B75.0",81,9.2,"Til_spe","Alive",8.899999619,0.422,1.94295,1.29229,-4.20064,3.73744046396021,1.12123213918806,4.85867260314827
"77","P81.B76.0",81,24.5,"Que_rob","Alive",27.89999962,0.56,2.00333,0.85925,-2.86353,159.134412656764,47.7403237970293,206.874736453794
"78","P81.B77.0",81,9.2,"Ulm_spe","Alive",9.100000381,0.508,1.94295,1.29229,-4.20064,4.63018113618987,1.38905434085696,6.01923547704683
"79","P81.B78.0",81,11.2,"Til_spe","Alive",11.19999981,0.422,1.94295,1.29229,-4.20064,7.3716998267947,2.21150994803841,9.58320977483311
"80","P81.B79.0",81,5,"Til_spe","Alive",5.300000191,0.422,1.94295,1.29229,-4.20064,0.584970264152863,0.175491079245859,0.760461343398721
"81","P81.B80.0",81,8.1,"Til_spe","Alive",7.300000191,0.422,1.94295,1.29229,-4.20064,2.25891566659007,0.677674699977021,2.93659036656709
"82","P81.B81.0",81,51.5,"Que_rob","Alive",32.90000153,0.56,2.00333,0.85925,-2.86353,812.149490141807,243.644847042542,1055.79433718435
"83","P81.B82.0",81,8.8,"Til_spe","Alive",10.10000038,0.422,1.94295,1.29229,-4.20064,4.03694315002203,1.21108294500661,5.24802609502864
"84","P81.B83.0",81,6.5,"Til_spe","Alive",7.599999905,0.422,1.94295,1.29229,-4.20064,1.55171562355508,0.465514687066524,2.01723031062161
"85","P81.B84.0",81,9.1,"Til_spe","Alive",6.5,0.422,1.94295,1.29229,-4.20064,2.43772556164228,0.731317668492684,3.16904323013496
"86","P81.B85.0",81,8.8,"Til_spe","Alive",9.899999619,0.422,1.94295,1.29229,-4.20064,3.93393815658275,1.18018144697483,5.11411960355758
"87","P81.B86.0",81,15.2,"Til_spe","Alive",11.60000038,0.422,1.94295,1.29229,-4.20064,13.9619786290298,4.18859358870894,18.1505722177387
"88","P81.B87.0",81,7,"Til_spe","Alive",10.19999981,0.422,1.94295,1.29229,-4.20064,2.62109449798826,0.786328349396478,3.40742284738474
"89","P81.B88.0",81,6.3,"Til_spe","Alive",5.699999809,0.422,1.94295,1.29229,-4.20064,1.00689400576859,0.302068201730578,1.30896220749917
"90","P81.B89.0",81,6.5,"Til_spe","Alive",7.300000191,0.422,1.94295,1.29229,-4.20064,1.47302140003886,0.441906420011659,1.91492782005052
"91","P81.B90.0",81,9.8,"Til_spe","Alive",9.699999809,0.422,1.94295,1.29229,-4.20064,4.72273387235561,1.41682016170668,6.13955403406229
"92","P81.B91.0",81,6.3,"Til_spe","Alive",3.700000048,0.422,1.94295,1.29229,-4.20064,0.57604401703414,0.172813205110242,0.748857222144383
"93","P81.B92.0",81,8.8,"Til_spe","Alive",8.5,0.422,1.94295,1.29229,-4.20064,3.23040465785785,0.969121397357354,4.1995260552152
"94","P81.B93.0",81,12.5,"Ulm_spe","Alive",10.10000038,0.508,1.94295,1.29229,-4.20064,9.61086765206117,2.88326029561835,12.4941279476795
"95","P81.B94.0",81,70.6,"Que_rob","Alive",33.79999924,0.56,2.00333,0.85925,-2.86353,1563.71713545839,469.115140637517,2032.83227609591
"96","P81.B95.0",81,7.6,"Til_spe","Alive",7.199999809,0.422,1.94295,1.29229,-4.20064,1.96062484849464,0.588187454548391,2.54881230304303
"97","P81.B96.0",81,18,"Til_spe","Alive",12.69999981,0.422,1.94295,1.29229,-4.20064,21.8002639731325,6.54007919193975,28.3403431650722
"98","P81.B97.0",81,6.5,"Ulm_spe","Alive",8.800000191,0.508,1.94295,1.29229,-4.20064,2.25757573548664,0.677272720645992,2.93484845613263
"99","P81.B98.0",81,6.9,"Ulm_spe","Alive",9.100000381,0.508,1.94295,1.29229,-4.20064,2.64757494769941,0.794272484309824,3.44184743200924
"100","P81.B99.0",81,8.2,"Car_bet","Alive",8.399999619,0.706,0.00021491,2.258957614,0.001411006,40.7023444314829,12.2107033294449,52.9130477609278
"101","P81.B100.0",81,8.9,"Til_spe","Alive",2.099999905,0.422,1.94295,1.29229,-4.20064,0.542142678171462,0.162642803451439,0.7047854816229
"102","P81.B101.0",81,6.4,"Car_bet","Alive",4.699999809,0.706,0.00021491,2.258957614,0.001411006,10.9629931036893,3.2888979311068,14.2518910347961
"103","P81.B102.0",81,14.2,"Til_spe","Alive",11.80000019,0.422,1.94295,1.29229,-4.20064,12.505946988402,3.75178409652059,16.2577310849226
"104","P81.B103.0",81,13.5,"Til_spe","Alive",12,0.422,1.94295,1.29229,-4.20064,11.5849100043647,3.47547300130941,15.0603830056741
"105","P81.B104.0",81,6.1,"Car_bet","Alive",7.300000191,0.706,0.00021491,2.258957614,0.001411006,29.641071585036,8.89232147551079,38.5333930605467
"106","P81.B105.0",81,11.6,"Ulm_spe","Alive",10.30000019,0.508,1.94295,1.29229,-4.20064,8.5254021741312,2.55762065223936,11.0830228263706
"107","P81.B106.0",81,21.5,"Car_bet","Alive",18.29999924,0.706,0.00021491,2.258957614,0.001411006,236.387858436584,70.9163575309752,307.304215967559
"108","P81.B107.0",81,26.9,"Car_bet","Alive",22.89999962,0.706,0.00021491,2.258957614,0.001411006,392.313560075738,117.694068022721,510.007628098459
"109","P81.B108.0",81,38.5,"Car_bet","Alive",25.20000076,0.706,0.00021491,2.258957614,0.001411006,487.035405624773,146.110621687432,633.146027312205
"110","P81.B109.0",81,30.3,"Car_bet","Alive",23.29999924,0.706,0.00021491,2.258957614,0.001411006,407.974261351919,122.392278405576,530.366539757494
"111","P81.B110.0",81,28.2,"Car_bet","Alive",24.89999962,0.706,0.00021491,2.258957614,0.001411006,474.00416192964,142.201248578892,616.205410508532
"112","P81.B111.0",81,35.5,"Car_bet","Alive",25.29999924,0.706,0.00021491,2.258957614,0.001411006,491.403523176959,147.421056953088,638.824580130046
"113","P81.B112.0",81,28.7,"Car_bet","Alive",16.29999924,0.706,0.00021491,2.258957614,0.001411006,182.015778412417,54.6047335237251,236.620511936142
"114","P81.B113.0",81,41,"Que_rob","Alive",29.10000038,0.56,2.00333,0.85925,-2.86353,462.869907018286,138.860972105486,601.730879123771
"115","P81.B114.0",81,27.5,"Que_rob","Alive",25.39999962,0.56,2.00333,0.85925,-2.86353,185.025820227214,55.5077460681642,240.533566295378
"116","P81.B115.0",81,32.3,"Que_rob","Alive",25.79999924,0.56,2.00333,0.85925,-2.86353,258.84245937771,77.6527378133129,336.495197191022
"117","P81.B116.0",81,42.6,"Que_rob","Alive",28.89999962,0.56,2.00333,0.85925,-2.86353,496.812147092907,149.043644127872,645.855791220779
"118","P81.B117.0",81,45.9,"Que_rob","Alive",31.20000076,0.56,2.00333,0.85925,-2.86353,616.14390751325,184.843172253975,800.987079767225
"119","P81.B119.0",81,5.5,"Fra_exc","Alive",8.800000191,0.56,1.95277,0.77206,-2.48079,3.29494238888259,0.988482716664778,4.28342510554737
"120","P81.B120.0",81,9.3,"Ulm_spe","Alive",9.399999619,0.508,1.94295,1.29229,-4.20064,4.93087637073429,1.47926291122029,6.41013928195458
"121","P81.B122.0",81,39.1,"Que_rob","Alive",29.5,0.56,2.00333,0.85925,-2.86353,425.863714489916,127.759114346975,553.622828836891
"122","P81.B123.0",81,13.5,"Til_spe","Alive",11.89999962,0.422,1.94295,1.29229,-4.20064,11.460302910653,3.43809087319589,14.8983937838489
"123","P81.B124.0",81,7.3,"Ulm_spe","Alive",8.300000191,0.508,1.94295,1.29229,-4.20064,2.62274090536202,0.786822271608605,3.40956317697062
"124","P81.B125.0",81,8.1,"Car_bet","Alive",6.599999905,0.706,0.00021491,2.258957614,0.001411006,23.6061733878019,7.08185201634057,30.6880254041425
"125","P81.B126.0",81,40.6,"Que_rob","Alive",29.10000038,0.56,2.00333,0.85925,-2.86353,453.867537899799,136.16026136994,590.027799269739
"126","P81.B127.0",81,10.5,"Ulm_spe","Alive",6.300000191,0.508,1.94295,1.29229,-4.20064,3.72174284446333,1.116522853339,4.83826569780233
"127","P81.B128.0",81,20.3,"Til_spe","Alive",12.69999981,0.422,1.94295,1.29229,-4.20064,27.5378142045206,8.26134426135618,35.7991584658768
"128","P81.B129.0",81,40.9,"Que_rob","Dead",24.10000038,0.56,2.00333,0.85925,-2.86353,391.726012289637,117.517803686891,509.243815976529
"129","P81.B130.0",81,13.1,"Til_spe","Alive",10.19999981,0.422,1.94295,1.29229,-4.20064,8.85730716264143,2.65719214879243,11.5144993114339
"130","P81.B131.1",81,9.4,"Til_spe","Alive",6.599999905,0.422,1.94295,1.29229,-4.20064,2.64802892062547,0.79440867618764,3.44243759681311
"131","P81.B131.2",81,9.4,"Til_spe","Alive",6.5,0.422,1.94295,1.29229,-4.20064,2.59629538423446,0.778888615270339,3.3751839995048
"132","P81.B132.0",81,37.6,"Que_rob","Alive",21.60000038,0.56,2.00333,0.85925,-2.86353,301.245844498075,90.3737533494224,391.619597847497
"133","P81.B133.0",81,10.6,"Til_spe","Alive",6.599999905,0.422,1.94295,1.29229,-4.20064,3.34427507260995,1.00328252178298,4.34755759439293
"134","P81.B134.0",81,7.5,"Til_spe","Alive",7.199999809,0.422,1.94295,1.29229,-4.20064,1.91081224223132,0.573243672669395,2.48405591490071
"135","P81.B135.0",81,11.3,"Til_spe","Alive",9.899999619,0.422,1.94295,1.29229,-4.20064,6.39475164381263,1.91842549314379,8.31317713695642
"136","P81.B136.0",81,11.4,"Til_spe","Alive",9.600000381,0.422,1.94295,1.29229,-4.20064,6.25155607941156,1.87546682382347,8.12702290323502
"137","P81.B137.0",81,25.3,"Que_rob","Alive",24.20000076,0.56,2.00333,0.85925,-2.86353,150.185292876756,45.0555878630269,195.240880739783
"138","P81.B138.0",81,17.5,"Ulm_spe","Alive",10.60000038,0.508,1.94295,1.29229,-4.20064,19.6698075683761,5.90094227051283,25.5707498388889
"139","P81.B139.0",81,31.8,"Que_rob","Alive",26.20000076,0.56,2.00333,0.85925,-2.86353,254.216259827496,76.2648779482488,330.481137775745
"140","P81.B140.0",81,12.5,"Til_spe","Alive",13,0.422,1.94295,1.29229,-4.20064,11.0630455612424,3.31891366837271,14.3819592296151
"141","P81.B141.0",81,6.4,"Til_spe","Alive",4.800000191,0.422,1.94295,1.29229,-4.20064,0.83142710350278,0.249428131050834,1.08085523455361
"142","P81.B142.0",81,7.4,"Ace_pse","Alive",11.19999981,0.51,1.89756,0.97716,-2.94253,5.97608423144255,1.79282526943276,7.76890950087531
"143","P81.B143.0",81,47.7,"Que_rob","Alive",30.79999924,0.56,2.00333,0.85925,-2.86353,658.163850980829,197.449155294249,855.613006275078
"144","P81.B145.1",81,8.1,"Til_spe","Alive",6.699999809,0.422,1.94295,1.29229,-4.20064,2.02192338233775,0.606577014701325,2.62850039703908
"145","P81.B145.2",81,8.2,"Til_spe","Alive",5.900000095,0.422,1.94295,1.29229,-4.20064,1.75693023263335,0.527079069790006,2.28400930242336
"146","P81.B146.0",81,30.7,"Que_rob","Alive",23.79999924,0.56,2.00333,0.85925,-2.86353,218.13395183678,65.440185551034,283.574137387814
