"Year","DBH","Height","Carbon_Above","Carbon_Below","Carbon_Total","Tree_ID"
25,37.325,13.8957047380051,121.589754747816,36.4769264243449,158.066681172161,"P81.B159.0"
30,43.35,14.8422740496493,177.073301513042,53.1219904539127,230.195291966955,"P81.B159.0"
35,49.375,15.717727242167,245.543782609788,73.6631347829364,319.206917392724,"P81.B159.0"
40,55.4,16.5352144161742,327.897371663472,98.3692114990416,426.266583162514,"P81.B159.0"
45,61.425,17.3043131879084,424.978092594445,127.493427778334,552.471520372779,"P81.B159.0"
50,67.45,18.0322502268343,537.58611524264,161.275834572792,698.861949815433,"P81.B159.0"
55,73.475,18.7246342196385,666.484052133463,199.945215640039,866.429267773502,"P81.B159.0"
60,79.5,19.3859194834153,812.401873395409,243.720562018623,1056.12243541403,"P81.B159.0"
65,85.525,20.0197119898034,976.040831263389,292.812249379017,1268.85308064241,"P81.B159.0"
70,91.55,20.6289786183899,1158.07665342932,347.422996028797,1505.49964945812,"P81.B159.0"
75,97.575,21.2161945490018,1359.16218315698,407.748654947094,1766.91083810408,"P81.B159.0"
80,103.6,21.7834497430853,1579.92959193978,473.978877581935,2053.90846952172,"P81.B159.0"
85,109.625,22.3325275706604,1820.99225589949,546.297676769848,2367.28993266934,"P81.B159.0"
90,115.65,22.8649639882094,2082.94636350842,624.883909052527,2707.83027256095,"P81.B159.0"
95,121.675,23.3820928334086,2366.37230567835,709.911691703505,3076.28399738185,"P81.B159.0"
100,127.7,23.8850810147587,2671.83588741723,801.550766225168,3473.3866536424,"P81.B159.0"
0,31.5,26.542106378965,252.230481451859,75.6691444355578,327.899625887417,"P81.B160.0"
5,33.0243055555556,26.9537791583476,280.967222955151,84.2901668865453,365.257389841696,"P81.B160.0"
10,34.5486111111111,27.3528304888687,311.45762746122,93.437288238366,404.894915699586,"P81.B160.0"
15,36.0729166666667,27.7401796014351,343.724252986934,103.11727589608,446.841528883014,"P81.B160.0"
20,37.5972222222222,28.1166432307948,377.788954592895,113.336686377868,491.125640970763,"P81.B160.0"
25,39.1215277777778,28.4829506917226,413.672934686779,124.101880406034,537.774815092812,"P81.B160.0"
30,40.6458333333333,28.8397562422589,451.396787855788,135.419036356737,586.815824212525,"P81.B160.0"
35,42.1701388888889,29.1876493047521,490.980541011224,147.294162303367,638.274703314592,"P81.B160.0"
40,43.6944444444445,29.5271629792506,532.443689491172,159.733106847352,692.176796338524,"P81.B160.0"
45,45.21875,29.8587811836733,575.805229658339,172.741568897502,748.546798555841,"P81.B160.0"
50,46.7430555555556,30.1829446807108,621.083688442613,186.325106532784,807.408794975397,"P81.B160.0"
55,48.2673611111111,30.5000561953896,668.297150207164,200.489145062149,868.786295269314,"P81.B160.0"
60,49.7916666666667,30.8104847846623,717.463281259198,215.238984377759,932.702265636957,"P81.B160.0"
65,51.3159722222222,31.1145695877229,768.599352279105,230.579805683732,999.179157962837,"P81.B160.0"
70,52.8402777777778,31.4126230604638,821.722258902585,246.516677670776,1068.23893657336,"P81.B160.0"
75,54.3645833333334,31.7049337777575,876.84854065776,263.054562197328,1139.90310285509,"P81.B160.0"
80,55.8888888888889,31.9917688717189,933.994398432044,280.198319529613,1214.19271796166,"P81.B160.0"
85,57.4131944444445,32.2733761618047,993.175710620621,297.952713186186,1291.12842380681,"P81.B160.0"
90,58.9375,32.5499860227867,1054.40804808903,316.322414426709,1370.73046251574,"P81.B160.0"
95,60.4618055555556,32.8218130287569,1117.70668806587,335.31200641976,1453.01869448562,"P81.B160.0"
100,61.9861111111111,33.0890574049488,1183.08662706761,354.925988120283,1538.01261518789,"P81.B160.0"
0,9,7.46155507778148,59.5101251095627,17.8530375328688,77.3631626424315,"P81.B162.0"
5,11.5416666666667,9.30771923523792,111.486648460994,33.4459945382982,144.932642999292,"P81.B162.0"
10,14.0833333333333,11.108840710181,184.233724586791,55.2701173760374,239.503841962829,"P81.B162.0"
15,16.625,12.8739717904329,280.041145208066,84.0123435624199,364.053488770486,"P81.B162.0"
20,19.1666666666667,14.6092268706669,401.007356704331,120.302207011299,521.30956371563,"P81.B162.0"
25,21.7083333333333,16.3190037281766,549.081908150795,164.724572445239,713.806480596034,"P81.B162.0"
30,24.25,18.0066117348148,726.094097418888,217.828229225666,943.922326644554,"P81.B162.0"
35,26.7916666666667,19.6746277791948,933.773406370328,280.132021911098,1213.90542828143,"P81.B162.0"
40,29.3333333333333,21.3251128192081,1173.76469576679,352.129408730037,1525.89410449683,"P81.B162.0"
45,31.875,22.9597510851806,1447.63987378098,434.291962134293,1881.93183591527,"P81.B162.0"
50,34.4166666666666,24.5799435676902,1756.9070908352,527.072127250561,2283.97921808576,"P81.B162.0"
55,36.9583333333333,26.1868730891584,2103.01814013921,630.905442041764,2733.92358218098,"P81.B162.0"
60,39.5,27.7815509655745,2487.3745202822,746.212356084659,3233.58687636686,"P81.B162.0"
65,42.0416666666666,29.3648513207282,2911.33247677668,873.399743033003,3784.73221980968,"P81.B162.0"
70,44.5833333333333,30.9375368715928,3376.20724885861,1012.86217465758,4389.06942351619,"P81.B162.0"
75,47.125,32.5002786713623,3883.27668706827,1164.98300612048,5048.25969318874,"P81.B162.0"
80,49.6666666666666,34.0536714762974,4433.78436521476,1330.13530956443,5763.91967477919,"P81.B162.0"
85,52.2083333333333,35.5982458811169,5028.94228070954,1508.68268421286,6537.6249649224,"P81.B162.0"
90,54.75,37.134478026946,5669.93321588375,1700.97996476512,7370.91318064887,"P81.B162.0"
95,57.2916666666666,38.6627974576763,6357.91281719577,1907.37384515873,8265.2866623545,"P81.B162.0"
100,59.8333333333333,40.1835935444522,7094.01143749422,2128.20343124827,9222.21486874249,"P81.B162.0"
0,8.1,6.70646435195895,24.4751098929936,7.34253296789808,31.8176428608917,"P81.B163.0"
5,9.81323529411765,7.88462210676944,35.2791819337808,10.5837545801342,45.862936513915,"P81.B163.0"
10,11.5264705882353,9.03085357852492,47.9395962447949,14.3818788734385,62.3214751182333,"P81.B163.0"
15,13.239705882353,10.1506270249321,62.4282537341446,18.7284761202434,81.156729854388,"P81.B163.0"
20,14.9529411764706,11.2478856504541,78.7213271394568,23.616398141837,102.337725281294,"P81.B163.0"
25,16.6661764705883,12.3255999740157,96.7981657743689,29.0394497323107,125.83761550668,"P81.B163.0"
30,18.3794117647059,13.3860834868532,116.640570986921,34.9921712960763,151.632742282997,"P81.B163.0"
35,20.0926470588235,14.4311858327956,138.232292322162,41.4696876966487,179.701980018811,"P81.B163.0"
40,21.8058823529412,15.4624174923971,161.558663247898,48.4675989743693,210.026262222267,"P81.B163.0"
45,23.5191176470588,16.4810337586157,186.606329417147,55.9818988251442,242.588228242291,"P81.B163.0"
50,25.2323529411765,17.4880933041888,213.36304068305,64.008912204915,277.371952887965,"P81.B163.0"
55,26.9455882352941,18.4845002370966,241.817488448192,72.5452465344577,314.36273498265,"P81.B163.0"
60,28.6588235294118,19.4710350557914,271.959176121009,81.5877528363027,353.546928957311,"P81.B163.0"
65,30.3720588235294,20.448377923736,303.778314305225,91.1334942915674,394.911808596792,"P81.B163.0"
70,32.0852941176471,21.4171264954013,337.265734832442,101.179720449733,438.445455282175,"P81.B163.0"
75,33.7985294117647,22.377809792372,372.412819398435,111.723845819531,484.136665217966,"P81.B163.0"
80,35.5117647058824,23.3308991607959,409.21143968941,122.763431906823,531.974871596234,"P81.B163.0"
85,37.225,24.2768170353494,447.653906670122,134.296172001036,581.950078671158,"P81.B163.0"
90,38.9382352941177,25.2159440295943,487.732927265287,146.319878179586,634.052805444873,"P81.B163.0"
95,40.6514705882353,26.1486247319128,529.441567071602,158.832470121481,688.274037193083,"P81.B163.0"
100,42.364705882353,27.0751724879286,572.773218036835,171.831965411051,744.605183447886,"P81.B163.0"
0,8.1,6.79453784225787,45.6152260648003,13.6845678194401,59.2997938842404,"P82.B1.0"
5,10.6416666666667,8.65974402010814,90.8317822597632,27.249534677929,118.081316937692,"P82.B1.0"
10,13.1833333333333,10.475569649432,155.950603260685,46.7851809782056,202.735784238891,"P82.B1.0"
15,15.725,12.2526288656027,243.343631938014,73.0030895814041,316.346721519418,"P82.B1.0"
20,18.2666666666667,13.9978886980394,355.171241710091,106.551372513027,461.722614223119,"P82.B1.0"
25,20.8083333333333,15.7162621953127,493.431874976861,148.029562493058,641.461437469919,"P82.B1.0"
30,23.35,17.4113932904109,659.994730421828,197.998419126548,857.993149548376,"P82.B1.0"
35,25.8916666666667,19.0860880503762,856.62267185109,256.986801555327,1113.60947340642,"P82.B1.0"
40,28.4333333333333,20.7425710879065,1084.98903511624,325.496710534871,1410.48574565111,"P82.B1.0"
45,30.975,22.3826474495301,1346.69039891533,404.0071196746,1750.69751858993,"P82.B1.0"
50,33.5166666666666,24.0078097781449,1643.25656272634,492.976968817903,2136.23353154425,"P82.B1.0"
55,36.0583333333333,25.6193120212084,1976.15852125581,592.847556376743,2569.00607763255,"P82.B1.0"
60,38.6,27.218221761835,2346.81495865082,704.044487595246,3050.85944624607,"P82.B1.0"
65,41.1416666666666,28.8054583776658,2756.59762181609,826.979286544828,3583.57690836092,"P82.B1.0"
70,43.6833333333333,30.3818215069606,3206.83582705072,962.050748115216,4168.88657516593,"P82.B1.0"
75,46.225,31.9480127062697,3698.82028444884,1109.64608533465,4808.4663697835,"P82.B1.0"
80,48.7666666666666,33.5046522137943,4233.80637683321,1270.14191304996,5503.94828988317,"P82.B1.0"
85,51.3083333333333,35.0522921224158,4813.01699658069,1443.90509897421,6256.9220955549,"P82.B1.0"
90,53.85,36.5914268714168,5437.64501976453,1631.29350592936,7068.93852569389,"P82.B1.0"
95,56.3916666666666,38.1225017036276,6108.85547955515,1832.65664386655,7941.5121234217,"P82.B1.0"
100,58.9333333333333,39.6459195565724,6827.78748782887,2048.33624634866,8876.12373417752,"P82.B1.0"
0,9.9,8.12118345491215,75.693077597362,22.7079232792086,98.4010008765705,"P82.B2.0"
5,12.4416666666667,9.95009423541453,134.74815782328,40.424447346984,175.172605170264,"P82.B2.0"
10,14.9833333333333,11.7376244595918,215.41000317818,64.623000953454,280.033004131634,"P82.B2.0"
15,17.525,13.4915837647848,319.894555212965,95.9683665638895,415.862921776855,"P82.B2.0"
20,20.0666666666667,15.2173800936306,450.243558175738,135.073067452721,585.316625628459,"P82.B2.0"
25,22.6083333333333,16.9189721460765,608.361212039084,182.508363611725,790.869575650809,"P82.B2.0"
30,25.15,18.599378256978,796.039450398354,238.811835119506,1034.85128551786,"P82.B2.0"
35,27.6916666666667,20.2609727629174,1014.97626336483,304.492879009448,1319.46914237427,"P82.B2.0"
40,30.2333333333333,21.9056701486164,1266.78949036618,380.036847109853,1646.82633747603,"P82.B2.0"
45,32.775,23.535045399624,1553.02751590782,465.908254772346,2018.93577068016,"P82.B2.0"
50,35.3166666666666,25.1504159254213,1875.17776520041,562.553329560124,2437.73109476054,"P82.B2.0"
55,37.8583333333333,26.7528992205673,2234.67358727792,670.402076183377,2905.0756634613,"P82.B2.0"
60,40.4,28.343454602552,2632.89992527455,789.869977582365,3422.76990285691,"P82.B2.0"
65,42.9416666666666,29.9229141522796,3071.19805430722,921.359416292167,3992.55747059939,"P82.B2.0"
70,45.4833333333333,31.4920061260406,3550.86958902601,1065.2608767078,4616.13046573382,"P82.B2.0"
75,48.025,33.0513729901976,4073.17990976357,1221.95397292907,5295.13388269264,"P82.B2.0"
80,50.5666666666666,34.6015855334553,4639.36111924138,1391.80833577241,6031.16945501379,"P82.B2.0"
85,53.1083333333333,36.1431540644269,5250.61461546527,1575.18438463958,6825.79900010485,"P82.B2.0"
90,55.65,37.6765374073736,5908.11334731764,1772.43400419529,7680.54735151294,"P82.B2.0"
95,58.1916666666666,39.2021502099827,6613.00380520921,1983.90114156276,8596.90494677197,"P82.B2.0"
100,60.7333333333333,40.7203689398784,7366.40778852413,2209.92233655724,9576.33012508137,"P82.B2.0"
0,7.5,7.93904734462654,4.3796804527572,1.31390413582716,5.69358458858436,"P82.B3.0"
5,8.9375,8.68696451314281,6.67048374745757,2.00114512423727,8.67162887169485,"P82.B3.0"
10,10.375,9.37828738274829,9.54030187147518,2.86209056144256,12.4023924329177,"P82.B3.0"
15,11.8125,10.0243646438598,13.0247428143784,3.90742284431352,16.9321656586919,"P82.B3.0"
20,13.25,10.6331849081175,17.1565448173565,5.14696344520695,22.3035082625634,"P82.B3.0"
25,14.6875,11.2106249752708,21.9661219306978,6.58983657920935,28.5559585099072,"P82.B3.0"
30,16.125,11.7611582045187,27.481958468289,8.24458754048669,35.7265460087757,"P82.B3.0"
35,17.5625,12.288283691357,33.7309048634346,10.1192714590304,43.850176322465,"P82.B3.0"
40,19,12.7948000503362,40.7384061245475,12.2215218373642,52.9599279619117,"P82.B3.0"
45,20.4375,13.2829875147304,48.5286824732446,14.5586047419734,63.087287215218,"P82.B3.0"
50,21.875,13.7547333119742,57.1248750098965,17.137462502969,74.2623375128655,"P82.B3.0"
55,23.3125,14.211620530667,66.5491651433521,19.9647495430056,86.5139146863578,"P82.B3.0"
60,24.75,14.6549926929772,76.8228739106519,23.0468621731956,99.8697360838475,"P82.B3.0"
65,26.1875,15.086001691176,87.9665455944819,26.3899636783446,114.356509272826,"P82.B3.0"
70,27.625,15.5056440467088,100.000018881457,30.0000056644371,130.000024545894,"P82.B3.0"
75,29.0625,15.9147887924496,112.942487994237,33.8827463982711,146.825234392508,"P82.B3.0"
80,30.5,16.314199229534,126.812555654217,38.0437666962651,164.856322350482,"P82.B3.0"
85,31.9375,16.704550128007,141.628279313391,42.4884837940174,184.116763107409,"P82.B3.0"
90,33.375,17.0864414863231,157.407211785218,47.2221635355653,204.629375320783,"P82.B3.0"
95,34.8125,17.4604096558218,174.166437172635,52.2499311517904,226.416368324425,"P82.B3.0"
100,36.25,17.8269364221395,191.922602815136,57.5767808445409,249.499383659677,"P82.B3.0"
0,9.1,7.53519705233378,61.1930504596752,18.3579151379026,79.5509655975778,"P82.B4.0"
5,11.6416666666667,9.37936194706502,113.940591678093,34.182177503428,148.122769181521,"P82.B4.0"
10,14.1833333333333,11.178921357369,187.553113520929,56.2659340562787,243.819047577208,"P82.B4.0"
15,16.725,12.9427754941003,284.311819400186,85.2935458200557,369.605365220241,"P82.B4.0"
20,19.2666666666667,14.6769537004282,406.308611575639,121.892583472692,528.20119504833,"P82.B4.0"
25,21.8083333333333,16.3858014981945,555.487833489672,166.646350046901,722.134183536573,"P82.B4.0"
30,24.35,18.0725939185424,733.674511273675,220.102353382103,953.776864655778,"P82.B4.0"
35,26.8916666666667,19.7398841086217,942.59453773971,282.778361321913,1225.37289906162,"P82.B4.0"
40,29.4333333333333,21.3897159489575,1183.88970182298,355.166910546893,1539.05661236987,"P82.B4.0"
45,31.975,23.0237609882066,1459.12924299313,437.73877289794,1896.86801589107,"P82.B4.0"
50,34.5166666666666,24.643410549508,1769.81896448373,530.945689345118,2300.76465382885,"P82.B4.0"
55,37.0583333333333,26.2498399222301,2117.40857368677,635.22257210603,2752.6311457928,"P82.B4.0"
60,39.6,27.8440544420719,2503.29769930139,750.989309790417,3254.28700909181,"P82.B4.0"
65,42.1416666666666,29.4269234085221,2928.84089780786,878.652269342358,3807.49316715022,"P82.B4.0"
70,44.6833333333333,30.9992055921694,3395.35187270766,1018.6055618123,4413.95743451995,"P82.B4.0"
75,47.225,32.5615687782484,3904.10707010223,1171.23212103067,5075.3391911329,"P82.B4.0"
80,49.7666666666666,34.1146049874113,4456.34877284833,1336.9046318545,5793.25340470283,"P82.B4.0"
85,52.3083333333333,35.6588425022066,5053.28778629921,1515.98633588976,6569.27412218897,"P82.B4.0"
90,54.85,37.1947554925092,5696.10578753501,1708.8317362605,7404.93752379552,"P82.B4.0"
95,57.3916666666666,38.7227718084517,6385.95739446052,1915.78721833815,8301.74461279867,"P82.B4.0"
100,59.9333333333333,40.2432793555215,7123.97199953773,2137.19159986132,9261.16359939905,"P82.B4.0"
0,10.7,8.70192201644491,92.0936247315494,27.6280874194648,119.721712151014,"P82.B5.0"
5,13.2416666666667,10.5167574298401,157.697993136743,47.3093979410229,205.007391077766,"P82.B5.0"
10,15.7833333333333,12.2930186763925,245.628289296436,73.6884867889307,319.316776085366,"P82.B5.0"
15,18.325,14.0376123218106,358.040698501222,107.412209550367,465.452908051588,"P82.B5.0"
20,20.8666666666667,15.7554153712793,496.930377553894,149.079113266168,646.009490820062,"P82.B5.0"
25,23.4083333333333,17.4500485881165,664.163856409351,199.249156922805,863.413013332157,"P82.B5.0"
30,25.95,19.1243022888502,861.501774199103,258.450532259731,1119.95230645883,"P82.B5.0"
35,28.4916666666666,20.7803899066812,1090.61557452958,327.184672358874,1417.80024688846,"P82.B5.0"
40,31.0333333333333,22.4201082754091,1353.1002004835,405.930060145051,1759.03026062856,"P82.B5.0"
45,33.575,24.0449438329376,1650.48401900449,495.145205701347,2145.62922470584,"P82.B5.0"
50,36.1166666666666,25.6561457278969,1984.23675628214,595.271026884643,2579.50778316679,"P82.B5.0"
55,38.6583333333333,27.254777758109,2355.77596269933,706.732788809798,3062.50875150912,"P82.B5.0"
60,41.2,28.8417562644929,2766.47236372857,829.941709118572,3596.41407284715,"P82.B5.0"
65,43.7416666666666,30.4178784131822,3217.65434905944,965.296304717832,4182.95065377727,"P82.B5.0"
70,46.2833333333333,31.983843722277,3710.61178309696,1113.18353492909,4823.79531802605,"P82.B5.0"
75,48.825,33.5402707300186,4246.59927269616,1273.97978180885,5520.579054505,"P82.B5.0"
80,51.3666666666666,35.0877100972963,4826.83899485038,1448.05169845512,6274.8906933055,"P82.B5.0"
85,53.9083333333333,36.6266550462325,5452.52316329378,1635.75694898813,7088.28011228191,"P82.B5.0"
90,56.45,38.1575497766942,6124.81619561712,1837.44485868514,7962.26105430225,"P82.B5.0"
95,58.9916666666666,39.680796325939,6844.85662958969,2053.45698887691,8898.3136184666,"P82.B5.0"
100,61.5333333333333,41.1967602141154,7613.75882763529,2284.12764829059,9897.88647592587,"P82.B5.0"
0,13.9,10.8978799744199,19.2456146263188,5.77368438789564,25.0192990142144,"P82.B6.0"
5,15.3375,11.4626656090335,24.3711198022085,7.31133594066256,31.6824557428711,"P82.B6.0"
10,16.775,12.0022281687208,30.2152128379637,9.06456385138911,39.2797766893528,"P82.B6.0"
15,18.2125,12.51972265337,36.8040836026562,11.0412250807968,47.845308683453,"P82.B6.0"
20,19.65,13.0176947246477,44.1626032536276,13.2487809760883,57.4113842297158,"P82.B6.0"
25,21.0875,13.4982339248768,52.3144877609113,15.6943463282734,68.0088340891847,"P82.B6.0"
30,22.525,13.9630806274573,61.2824308102055,18.3847292430616,79.6671600532672,"P82.B6.0"
35,23.9625,14.4137027354477,71.0882134996166,21.326464049885,92.4146775495015,"P82.B6.0"
40,25.4,14.8513519762779,81.7527960932065,24.5258388279619,106.278634921168,"P82.B6.0"
45,26.8375,15.277106061302,93.2963956582001,27.98891869746,121.28531435566,"P82.B6.0"
50,28.275,15.6919008219115,105.738552427303,31.7215657281909,137.460118155494,"P82.B6.0"
55,29.7125,16.0965550906617,119.09818703493,35.729456110479,154.827643145409,"P82.B6.0"
60,31.15,16.4917902349359,133.393650278832,40.0180950836497,173.411745362482,"P82.B6.0"
65,32.5875,16.878245684692,148.64276669479,44.5928300084371,193.235596703227,"P82.B6.0"
70,34.025,17.2564914152389,164.862872961387,49.4588618884161,214.321734849803,"P82.B6.0"
75,35.4625,17.6270380848219,182.070851947482,54.6212555842447,236.692107531727,"P82.B6.0"
80,36.9,17.9903453442712,200.283163058555,60.0849489175665,260.368111976122,"P82.B6.0"
85,38.3375,18.3468287062784,219.515869416842,65.8547608250527,285.370630241895,"P82.B6.0"
90,39.775,18.6968652683124,239.784662315185,71.9353986945554,311.72006100974,"P82.B6.0"
95,41.2125,19.0407985147692,261.10488330927,78.3314649927811,339.436348302051,"P82.B6.0"
100,42.65,19.3789423732724,283.491544252843,85.0474632758529,368.539007528696,"P82.B6.0"
0,8.2,8.31122193964375,5.4252510511136,1.62757531533408,7.05282636644768,"P82.B7.0"
