"sp","dbh","n","cl","time","height","stem_volume","average_carbon_stock_per_cohort","total_carbon_total","total_carbon_above","total_carbon_below","ca_ind","ca_cohort","cumca","Species_Name","SP_code","k","p","a","b","c","Wood_Density","agb","carbon_above_per_tree","carbon_below_per_tree"
5,82.5,0.3615,1,0,36.3180497876397,8633.95311556217,2954.19339802075,1067.9409133845,821.49301029577,246.447903088731,148.069165095132,53.5270031818902,688.316830647737,"Que_rob","SEI",8.62866109840432,0.325694811647181,2.00333,0.85925,-2.86353,0.56,4835.01374471481,2272.45646001596,681.736938004789
2,81.5,0.3615,1,0,38.6853695818411,7591.70248312421,2597.57692162578,939.02405716772,722.326197821323,216.697859346397,144.812473487499,52.3497091657308,740.666539813468,"Fra_exc","GES",3.95189769262084,0.518398405633361,1.95277,0.77206,-2.48079,0.56,4251.35339054956,1998.13609355829,599.440828067488
5,81.5,0.3615,1,0,36.1740828786579,8396.8650129568,2873.0713328333,1038.61528681924,798.934836014798,239.68045080444,144.812473487499,52.3497091657308,793.016248979199,"Que_rob","SEI",8.62866109840432,0.325694811647181,2.00333,0.85925,-2.86353,0.56,4702.24440725581,2210.05487141023,663.016461423069
2,80.5,0.3615,1,0,38.438571437332,7374.33746509459,2523.20330705676,912.13799550102,701.644611923862,210.493383577158,141.533658317414,51.1644174817453,844.180666460944,"Fra_exc","GES",3.95189769262084,0.518398405633361,1.95277,0.77206,-2.48079,0.56,4129.62898045297,1940.9256208129,582.277686243869
6,81.5,0.3615,1,0,19.5991978713561,3621.72551689869,1124.14013973915,406.376660515703,312.597431165925,93.7792293497776,140.889605951941,50.9315925516268,895.112259012571,"Ulm_spe","UL",2.82231852357638,0.440378264732988,1.94295,1.29229,-4.20064,0.508,1839.83656258453,864.723184414731,259.416955324419
6,79.5,0.3615,1,0,19.3859194834153,3402.58784300304,1056.12243541403,381.788260402171,293.68327723244,88.1049831697319,136.409668187955,49.3120950499457,944.424354062517,"Ulm_spe","UL",2.82231852357638,0.440378264732988,1.94295,1.29229,-4.20064,0.508,1728.51462424555,812.401873395407,243.720562018622
2,78.5,1.4461,1,0,37.9405045393519,6950.46007034622,2378.16941766966,3439.0707948921,2645.43907299392,793.631721898176,134.929145212163,195.121036891309,1139.54539095383,"Fra_exc","GES",3.95189769262084,0.518398405633361,1.95277,0.77206,-2.48079,0.56,3892.25763939388,1829.36109051512,548.808327154537
5,78.5,0.3615,1,0,35.7349046647651,7707.77080407336,2637.29085832174,953.38064528331,733.369727141007,220.010918142302,134.929145212163,48.776885994197,1188.32227694802,"Que_rob","SEI",8.62866109840432,0.325694811647181,2.00333,0.85925,-2.86353,0.56,4316.35165028108,2028.68527563211,608.605582689633
2,77.5,0.723,1,0,37.6891795371073,6743.91566055559,2307.4981824157,1668.32118588655,1283.3239891435,384.99719674305,131.613422738353,95.1565046398295,1283.47878158785,"Fra_exc","GES",3.95189769262084,0.518398405633361,1.95277,0.77206,-2.48079,0.56,3776.59276991113,1774.99860185823,532.499580557469
5,77.5,0.3615,1,0,35.5859999658879,7485.41929251783,2561.2110651279,925.877800043737,712.213692341336,213.664107702401,131.613422738353,47.5782523199148,1331.05703390777,"Que_rob","SEI",8.62866109840432,0.325694811647181,2.00333,0.85925,-2.86353,0.56,4191.83480380999,1970.16235779069,591.048707337208
