dbh,n,cl,sp,time,ca_ind,ca_cohort,cumca
62.5,0.4364,1,5,0,84.29881730801351,36.7880038732171,3680.7865641403155
58.5,0.4364,1,1,0,84.01540933716343,36.66432463473812,3717.4508887750535
58.5,0.8727,1,7,0,82.9527796818046,72.39289082831088,3789.8437796033645
61.5,1.7454,1,2,0,81.4968816826616,142.24465728891755,3932.088436892282
44.5,0.4364,1,3,0,81.03752205545386,35.36477462500007,3967.453211517282
57.5,0.4364,1,7,0,80.40075854827506,35.086891030467235,4002.540102547749
60.5,3.0545,1,2,0,78.7572278948555,240.56395260483615,4243.104055152585
60.5,0.4364,1,5,0,78.7572278948555,34.36965425331494,4277.4737094059
56.5,0.8727,1,7,0,77.87452065808945,67.96109417831467,4345.434803584215
59.5,1.3091,1,2,0,76.08185998481984,99.59876290612765,4445.033566490342
58.5,0.8727,1,2,0,73.47249679121111,64.11944794968994,4509.153014440032
53.5,0.8727,1,1,0,73.29332735991942,63.96308678700168,4573.116101227034
54.5,0.4364,1,7,0,72.9114581642136,31.818560342862817,4604.934661569897
40.5,0.8727,1,3,0,72.46331357428627,63.238733756279636,4668.173395326176
57.5,1.3091,1,2,0,70.93057622057518,92.85521733035496,4761.028612656532
53.5,0.4364,1,7,0,70.4802831431423,30.7575955636673,4791.786208220199
51.5,0.8727,1,1,0,69.16547352406157,60.36070874444853,4852.146916964648
56.5,1.3091,1,2,0,68.45726157702464,89.61740113048295,4941.764318095131
52.5,0.4364,1,7,0,68.08616838061039,29.712803881298374,4971.477121976429
50.5,1.3091,1,1,0,67.14266755526495,87.89646609659734,5059.373588073026
55.5,1.3091,1,2,0,66.05344973824404,86.47057105233527,5145.844159125361
51.5,0.4364,1,7,0,65.73150957658952,28.685230779223666,5174.529389904585
49.5,0.8727,1,1,0,65.149208136686,56.85571394088587,5231.38510384547
54.5,1.7454,1,2,0,63.71978095324953,111.21650567580174,5342.601609521273
54.5,0.4364,1,5,0,63.71978095324953,27.807312407998097,5370.408921929271
50.5,0.4364,1,7,0,63.41851680107652,27.675840731989794,5398.08476266126
35.5,0.4364,1,3,0,61.95965415044208,27.039193071252924,5425.123955732513
49.5,0.4364,1,7,0,61.14920940691363,26.685514985177107,5451.809470717691
46.5,1.3091,1,1,0,59.357663336020664,77.70511707318465,5529.514587790875
52.5,0.4364,1,2,0,59.264218695622034,25.862905038769455,5555.377492829645
51.5,1.7454,1,2,0,57.142428862421795,99.736395336471,5655.113888166116
51.5,0.4364,1,5,0,57.142428862421795,24.936955955560872,5680.050844121677
47.5,0.4364,1,7,0,56.748755934844986,24.76515708996635,5704.816001211643
50.5,0.4364,1,2,0,55.09101664711428,24.041719664800674,5728.857720876444
