dbh,n,rel_freq,time
72.5,3.762969150411305,0.005177551053247923,30
77.5,3.4248899248466915,0.0047123804976477056,30
82.5,2.4580541116881776,0.003382090085304165,30
87.5,1.2408182541012673,0.0017072688086504928,30
92.5,0.480316151758479,6.60877434288102e-4,30
97.5,0.30545056897343376,4.202760777166397e-4,30
102.5,0.6429233625587367,8.846122303739424e-4,30
107.5,0.08743279139252264,1.2030067828573115e-4,30
2.5,121.9807266571168,0.15899020679435583,35
7.5,146.6745005477336,0.19117617850477414,35
12.5,192.7651753119016,0.25125096337341246,35
17.5,127.0293786909628,0.16557064169494665,35
22.5,55.2669828115644,0.07203522447288252,35
27.5,49.56165694619595,0.06459887805961746,35
32.5,21.369016260907074,0.02785246823347521,35
37.5,11.57725358124667,0.015089842399178011,35
42.5,9.045737040566443,0.011790252789112355,35
47.5,4.755210090575102,0.006197961402347765,35
52.5,3.935844721330997,0.00512999703562907,35
57.5,5.160007714611043,0.006725576376607169,35
62.5,3.7968080554795844,0.004948776043907554,35
67.5,2.4005477376287563,0.003128884305617894,35
72.5,3.6812882743659694,0.004798207061483634,35
77.5,2.1572584231360725,0.0028117799606767573,35
82.5,2.8648378502661656,0.003734042046875616,35
87.5,1.656917329261259,0.0021596332145233177,35
92.5,0.4561122943206736,5.944987374877313e-4,35
97.5,0.38685051535649473,5.042226351702404e-4,35
102.5,0.3533145210403775,4.6051167510716774e-4,35
107.5,0.2077267232573059,2.707519096867595e-4,35
112.5,0.13848448217153728,1.8050127312450637e-4,35
2.5,121.9807266571168,0.15066724989483027,40
7.5,154.75497700702465,0.19114910553638456,40
12.5,187.88152564963002,0.23206611037206182,40
17.5,140.76480031809717,0.1738688227816459,40
22.5,78.43733582244244,0.09688364712455298,40
27.5,41.660081611965246,0.051457390842676864,40
32.5,32.3916996439619,0.04000933949585021,40
37.5,12.62855301576207,0.015598442517762498,40
42.5,8.116016179717388,0.010024680713185616,40
47.5,5.538307849555584,0.006840766042565683,40
52.5,3.65023775502764,0.00450867361659717,40
57.5,4.591807999346295,0.005671675372547263,40
62.5,2.8256268334246544,0.0034901368100375366,40
67.5,3.6192139336325817,0.004470353842818801,40
72.5,2.482230228407327,0.003065982736528717,40
77.5,2.0024881249987394,0.0024734184408386813,40
82.5,2.582713324726896,0.0031900967027124355,40
