dbh,n,cl,sp,time,ca_ind,ca_cohort,cumca
9.916666666666668,3.634248764281509,1,1,40,14.84607675439623,53.95433609909294,9395.118390116675
5.5625,0.5538721847487211,1,4,40,14.79994870909059,8.197279925673019,9403.315670042348
5.28125,1.1767244630208904,1,4,40,14.731885417927204,17.335369957695676,9420.651040000044
5,2.5,1,4,40,14.664835454292188,36.66208863573047,9457.313128635775
9.312500000000002,6.644575789366743,1,2,40,14.468655254348558,96.13807640773835,9553.451205043513
7.875000000000002,8.087343560499718,1,2,40,13.604966387881243,110.02803730784649,9663.479242351359
7.458333333333334,4.262774193105653,1,1,40,13.363425253176453,56.965264300736955,9720.444506652097
15.169230769230767,3.9920450267747745,1,6,40,13.122268408134458,52.3846863386969,9772.829192990794
15.166666666666664,17.01758970681814,1,6,40,13.120554987238846,223.2802214985772,9996.10941448937
6.806818181818181,0.3039278070254683,1,3,40,12.80101859947127,3.8905855106295344,10000
6.806818181818181,19.35837634552881,2,3,40,12.80101859947127,247.80693565467897,10247.806935654678
6.437500000000001,9.843386235464951,2,2,40,12.7878678211477,125.87592209163044,10373.68285774631
5,5,2,1,40,12.015252786409222,60.07626393204611,10433.759121678355
5,11.9807266571168,2,2,40,12.015252786409222,143.95145935012988,10577.710581028485
12.630128205128203,0.6687535163584091,2,6,40,11.520320410699172,7.704254784230623,10585.414835812715
12.6275641025641,25.73373117410701,2,6,40,11.518795494917834,296.4215867157304,10881.836422528446
5,20,2,3,40,10.520338646074585,210.4067729214917,11092.243195449937
10.397058823529411,29.41174550311776,2,7,40,10.258880257721687,301.7315752870694,11393.974770737006
10.088461538461537,33.68680955480862,2,6,40,10.094693227738661,340.0580082770486,11734.032779014055
7.698529411764706,37.377237878127026,2,7,40,8.901054582561146,332.69683449858064,12066.729613512634
7.544230769230769,34.33712763785436,2,6,40,8.828548260278456,303.1469884701384,12369.876601982773
5,47.5,2,7,40,7.707148206789541,366.0895398225032,12735.966141805276
5,35,2,6,40,7.707148206789541,269.75018723763395,13005.71632904291
