Tree_ID,DBH20,Height20,xxx,DBH24,Height24,Species
P82.B116.0,10.4,9,NA,NA,NA,NA
P82.B117.0,32.5,20.200000760000002,NA,NA,NA,NA
P82.B118.0,28.3,20.299999239999998,NA,NA,NA,NA
P82.B119.0,7.2,8.100000381,NA,NA,NA,NA
P82.B120.0,7.8,5.099999905,NA,NA,NA,NA
P82.B121.0,8.3,5.400000095,NA,NA,NA,NA
P82.B122.0,9.8,5.900000095,NA,NA,NA,NA
P82.B123.0,27.5,10.5,NA,NA,NA,NA
P82.B1.0,0,NA,1,8.1,NA,WLI
P82.B2.0,0,NA,1,9.9,NA,WLI
P82.B3.0,0,NA,1,7.5,NA,BAH
P82.B4.0,0,NA,1,9.1,NA,WLI
P82.B5.0,0,NA,1,10.7,NA,WLI
P82.B6.0,0,NA,1,13.9,NA,BAH
P82.B7.0,0,NA,1,8.2,NA,BAH
P82.B8.0,0,NA,1,39.7,NA,SEI
P82.B9.0,0,NA,1,10.5,NA,WLI
P82.B10.0,0,NA,1,10.2,NA,BAH
P82.B11.0,0,NA,1,41.1,NA,SEI
P82.B12.0,0,NA,1,34,NA,SEI
P82.B13.0,0,NA,1,31.6,NA,SEI
P82.B14.0,0,NA,1,32.3,NA,SEI
P82.B15.0,0,NA,1,24.5,NA,SAH
P82.B16.0,0,NA,1,30.7,NA,SEI
P82.B17.0,0,NA,1,40.1,NA,SEI
P82.B18.0,0,NA,1,54.9,NA,GES
P82.B19.0,0,NA,1,6.1,NA,BAH
P82.B20.0,0,NA,1,49.2,NA,HBU
P82.B21.0,0,NA,1,27.2,NA,HBU
P82.B22.0,0,NA,1,34.7,NA,HBU
P82.B23.0,0,NA,1,18.1,NA,HBU
P82.B24.0,0,NA,1,36.6,NA,HBU
P82.B25.0,0,NA,1,18,NA,HBU
P82.B26.0,0,NA,1,25.8,NA,HBU
P82.B27.0,0,NA,1,27.6,NA,HBU
P82.B28.0,0,NA,1,46.5,NA,SEI
P82.B29.0,0,NA,1,5.3,NA,BAH
P82.B30.0,0,NA,1,7.1,NA,UL
P82.B31.0,0,NA,1,29.7,NA,SEI
P82.B32.0,0,NA,1,6.2,NA,BAH
P82.B33.0,0,NA,1,5.3,NA,BAH
P82.B34.0,0,NA,1,0,NA,BAH
P82.B35.0,0,NA,1,45.7,NA,SEI
P82.B36.0,0,NA,1,28.8,NA,HBU
P82.B37.0,0,NA,1,25.5,NA,HBU
P82.B38.0,0,NA,1,28.9,NA,HBU
P82.B39.0,0,NA,1,13,NA,UL
P82.B40.0,0,NA,1,10.8,NA,UL
P82.B41.0,0,NA,1,10.7,NA,UL
P82.B42.0,0,NA,1,22,NA,HBU
P82.B43.0,0,NA,1,6.9,NA,WLI
P82.B43.1,0,NA,1,7.2,7.5,WLI
P82.B43.2,0,NA,1,6.1,6.5,WLI
P82.B44.1,0,NA,1,13.7,NA,WLI
P82.B44.2,0,NA,1,9.4,NA,WLI
P82.B46.0,0,NA,1,21.4,NA,HBU
P82.B47.0,0,NA,1,16,NA,WLI
P82.B48.0,0,NA,1,9.6,NA,HBU
P82.B48.1,0,NA,1,7.5,10.6,HBU
P82.B49.0,0,NA,1,47.6,NA,SEI
P82.B50.0,0,NA,1,8.8,NA,WLI
P82.B51.0,0,NA,1,7.3,NA,WLI
P82.B52.0,0,NA,1,19.7,NA,WLI
P82.B53.1,0,NA,1,0,NA,BAH
P82.B53.2,0,NA,1,10.3,NA,BAH
P82.B54.0,0,NA,1,0,NA,BAH
P82.B55.0,0,NA,1,10.9,NA,BAH
